data,price,ClusterLabels,year,month,plotDate
2022-02-15,8990,1,2022,2,2
2022-02-15,7800,1,2022,2,2
2022-02-15,9200,1,2022,2,2
2022-02-15,7400,1,2022,2,2
2022-02-15,13000,1,2022,2,2
2022-02-15,9500,0,2022,2,2
2022-02-15,11990,0,2022,2,2
2022-02-15,5900,1,2022,2,2
2022-02-15,9000,0,2022,2,2
2022-02-15,6500,0,2022,2,2
2022-02-15,13900,0,2022,2,2
2022-02-15,13800,0,2022,2,2
2022-02-15,17800,0,2022,2,2
2022-02-15,10500,1,2022,2,2
2022-02-15,4800,1,2022,2,2
2022-02-15,13490,0,2022,2,2
2022-02-15,6990,1,2022,2,2
2022-02-15,9900,1,2022,2,2
2022-02-15,8500,0,2022,2,2
2022-02-15,17500,0,2022,2,2
2022-02-15,7900,1,2022,2,2
2022-02-15,19500,0,2022,2,2
2022-02-15,19500,0,2022,2,2
2022-02-15,12000,1,2022,2,2
2022-02-15,4999,1,2022,2,2
2022-02-15,35000,0,2022,2,2
2022-02-15,7499,1,2022,2,2
2022-02-15,20000,0,2022,2,2
2022-02-15,11500,1,2022,2,2
2022-02-15,7800,0,2022,2,2
2022-02-15,7200,1,2022,2,2
2022-02-15,8500,0,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,10000,0,2022,2,2
2022-02-15,20800,0,2022,2,2
2022-02-15,14500,1,2022,2,2
2022-02-15,11900,0,2022,2,2
2022-02-15,10800,0,2022,2,2
2022-02-15,19500,0,2022,2,2
2022-02-15,16849,0,2022,2,2
2022-02-15,12500,0,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,5500,1,2022,2,2
2022-02-15,10500,1,2022,2,2
2022-02-15,12250,0,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,15500,0,2022,2,2
2022-02-15,10200,0,2022,2,2
2022-02-15,10000,0,2022,2,2
2022-02-15,15200,0,2022,2,2
2022-02-15,6000,1,2022,2,2
2022-02-15,15000,0,2022,2,2
2022-02-15,11450,0,2022,2,2
2022-02-15,14390,0,2022,2,2
2022-02-15,7500,1,2022,2,2
2022-02-15,13000,0,2022,2,2
2022-02-15,8600,0,2022,2,2
2022-02-15,6300,1,2022,2,2
2022-02-15,7800,1,2022,2,2
2022-02-15,12300,1,2022,2,2
2022-02-15,6990,1,2022,2,2
2022-02-15,6500,1,2022,2,2
2022-02-15,6700,1,2022,2,2
2022-02-15,7850,1,2022,2,2
2022-02-15,6550,1,2022,2,2
2022-02-15,13000,0,2022,2,2
2022-02-15,16900,0,2022,2,2
2022-02-15,7500,1,2022,2,2
2022-02-15,16900,0,2022,2,2
2022-02-15,13500,0,2022,2,2
2022-02-15,8200,1,2022,2,2
2022-02-15,7390,1,2022,2,2
2022-02-15,11500,0,2022,2,2
2022-02-15,18500,0,2022,2,2
2022-02-15,15100,0,2022,2,2
2022-02-15,7300,1,2022,2,2
2022-02-15,13500,0,2022,2,2
2022-02-15,12000,0,2022,2,2
2022-02-15,12000,1,2022,2,2
2022-02-15,8790,1,2022,2,2
2022-02-15,7900,0,2022,2,2
2022-02-15,8900,1,2022,2,2
2022-02-15,8000,1,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,19500,0,2022,2,2
2022-02-15,20000,0,2022,2,2
2022-02-15,7200,1,2022,2,2
2022-02-15,9400,1,2022,2,2
2022-02-15,8350,1,2022,2,2
2022-02-15,8500,1,2022,2,2
2022-02-15,15500,0,2022,2,2
2022-02-15,6700,1,2022,2,2
2022-02-15,13500,0,2022,2,2
2022-02-15,14900,0,2022,2,2
2022-02-15,9800,0,2022,2,2
2022-02-15,18500,0,2022,2,2
2022-02-15,10400,1,2022,2,2
2022-02-15,8000,0,2022,2,2
2022-02-15,7500,0,2022,2,2
2022-02-15,8900,1,2022,2,2
